Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
7055,-11336,1356,9388,-12,503,140
7067,-10484,1436,9508,-150,744,82
7079,-11076,1584,8756,-409,171,89
7112,-10020,632,7756,-1057,1896,172
7124,-9112,1020,6284,-1274,1216,101
7136,-11656,1544,8068,-1291,-375,-5
7148,-12496,1632,9220,-1150,-263,-83
7160,-12544,1644,10132,-967,-375,-153
7172,-12468,1732,10388,-824,-292,-182
7184,-12804,1704,9888,-817,-151,-189
7196,-12916,1772,9884,-910,-113,-191
7208,-12492,1264,9852,-918,21,-206
7220,-13044,1024,10368,-866,8,-233
7232,-12868,1016,9904,-833,119,-266
7244,-12536,840,9636,-878,185,-262
7256,-12680,768,9748,-925,50,-261
7268,-12344,620,9412,-988,91,-231
7281,-12424,488,9260,-935,-54,-162
7293,-12584,484,9088,-755,36,-119
7305,-12216,572,9000,-552,55,-12
7317,-12248,692,9376,-380,-46,43
7329,-12220,776,9440,-310,-130,106
7341,-12468,1316,9092,-415,-347,204
7353,-12312,1360,9440,-584,-391,298
7365,-12304,1320,9168,-752,-479,321
7377,-12388,1708,8296,-1154,-1444,769
7389,-11452,456,8552,-937,-57,315
7401,-11740,1124,8532,-854,-680,296
7413,-12104,496,9104,-635,-1075,283
7425,-12596,152,9220,-243,-1292,222
7437,-12404,96,9432,194,-1386,229
7449,-12472,352,9728,476,-1514,297
7461,-12584,276,9844,642,-1571,417
7473,-12268,488,9508,652,-1582,608
7485,-12156,432,9792,547,-1559,760
7497,-12100,596,9616,410,-1584,936
7509,-12032,324,9888,398,-1673,1074
7521,-11992,-56,10268,514,-1711,1204
7533,-11868,172,9964,642,-1775,1270
7545,-11688,468,9552,669,-1735,1411
7557,-11456,532,9860,694,-1549,1544
7569,-11588,476,9932,778,-1472,1654
7581,-11684,420,9860,1014,-1398,1756
7593,-11508,520,9984,1317,-1358,1805
7605,-11540,888,10040,1515,-1250,1906
7617,-11596,1044,10184,1642,-1188,1967
7629,-11520,1232,9944,1607,-1154,2015
7641,-11604,1768,9800,1518,-1108,2121
7653,-11716,1940,10276,1407,-1035,2262
7665,-11688,2056,9996,1491,-1061,2322
7677,-11828,2000,10028,1665,-1172,2410
7689,-11904,1968,10360,1876,-1272,2372
7701,-11736,2300,9920,2066,-1364,2371
7713,-11580,2692,9980,2126,-1395,2392
7725,-11112,2964,9768,2042,-1310,2406
7737,-11196,3252,9636,1755,-1380,2448
7749,-11260,3196,9676,1523,-1472,2492
7761,-11132,3084,9876,1534,-1529,2495
7773,-11140,2824,10356,1808,-1614,2379
7785,-11304,2644,10324,2316,-1747,2220
7797,-11064,2556,10300,3070,-1811,2053
7809,-10776,3052,10160,3737,-1828,1928
7821,-10768,3440,10384,4216,-1885,1881
7833,-10976,3424,10696,4598,-1947,1805
7845,-10816,3588,10200,4898,-1966,1745
7857,-10924,3660,10116,5034,-1879,1667
7869,-10752,3828,10328,4975,-1837,1636
7881,-10908,4000,10700,4564,-1834,1629
7893,-10904,4016,10756,3985,-1856,1586
7905,-10992,3824,10912,3398,-1758,1522
7917,-10680,3792,10808,2899,-1758,1449
7929,-10808,3524,11284,2605,-1806,1322
7941,-10872,3188,11404,2547,-1849,1139
7953,-10876,2556,11716,2681,-1807,919
7965,-10792,3548,10272,2829,-1801,792
7977,-10160,3108,11024,3119,-1654,741
7989,-10676,3028,10748,3368,-1708,691
8001,-10472,3352,10516,3629,-1538,716
8013,-10736,3280,11228,3800,-1602,806
8025,-10572,3620,11200,3829,-1639,946
8037,-10864,4372,11156,3356,-1528,1148
8049,-10948,4560,11180,2597,-1422,1377
8061,-10880,4140,10628,1954,-1121,1561
8073,-10848,3220,11308,1700,-807,1486
8085,-10624,3032,11504,1789,-541,1335
8097,-10440,2832,11720,1960,-418,1108
8109,-9936,2776,11140,2153,-267,889
8121,-9080,3108,10568,2164,48,805
8133,-8736,3532,9936,2040,333,783
8145,-8808,3656,9848,1905,640,877
8157,-9076,4376,9616,1652,938,1019
8169,-9340,4060,9088,1368,1040,1171
8181,-9992,3768,9292,995,1016,1058
8193,-10820,4296,8984,464,1088,806
8205,-10996,4600,8576,-61,1168,463
8217,-10044,4856,9504,-283,1199,228
8229,-10160,5288,10096,-417,830,243
8241,-11008,5256,9788,-728,590,297
8253,-10896,4908,9684,-1173,427,295
8265,-10652,4600,9612,-1469,387,316
8277,-9848,3860,9692,-1111,-220,248
8289,-11292,3752,10368,1,-141,166
8301,-9884,2920,10772,1883,177,4
8313,-9872,2248,11240,4341,46,-284
8325,-11396,2392,12972,6912,-373,-679
8337,-11260,3736,12120,8849,-506,-913
8349,-10664,4896,9484,9682,-86,-840
8361,-9368,4704,9488,9816,800,-736
8373,-9852,4544,9468,9521,1559,-844
8385,-11504,5452,10688,8805,1965,-1015
8397,-11464,5628,10104,7918,2312,-1186
8409,-11048,6548,9160,7062,2389,-1336
8421,-11012,7112,9516,6249,2278,-1346
8433,-12092,7788,10040,5157,1858,-1040
8445,-12648,7028,8736,3920,1458,-777
8457,-12248,7012,9312,2890,1266,-575
8469,-12268,5968,8184,2351,920,-361
8481,-12620,5420,7600,2471,799,-241
8493,-12252,4908,7552,3975,621,15
8505,-12148,2316,7660,6511,275,-5
8517,-11264,708,6676,9815,221,-157
8529,-11376,3448,5408,13063,221,-409
8541,-12088,4424,6032,15112,-234,-583
8553,-11944,6096,7372,15451,-560,-675
8565,-11188,6808,7656,14939,-439,-793
8577,-12856,5520,7560,14839,-120,-1093
8589,-11740,7004,9028,16194,-662,-1747
8601,-10364,7616,7736,16640,-176,-2217
8613,-10368,8916,304,16466,1888,-2633
8625,-9728,9180,6496,15852,582,-2963
8637,-10804,10456,6808,13732,-42,-2952
8649,-11032,10692,6616,9994,665,-2660
8661,-8048,11448,8548,6137,724,-2160
8673,-9276,10996,8852,2184,229,-1605
