Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
7495,-1892,352,15152,-220,-442,96
7507,-1868,160,15504,-52,-629,345
7519,-1920,528,15668,446,-965,439
7552,-1304,1312,15900,227,11,103
7564,-1456,1492,15376,-301,221,-176
7576,-1544,924,15308,-656,123,-390
7588,-1892,540,15424,-635,174,-351
7600,-1912,188,15572,-788,7,-12
7612,-1932,136,15592,-445,-1,360
7624,-2004,292,15940,-92,-191,568
7636,-1752,904,15956,-37,-215,654
7648,-1564,1196,15912,118,-162,258
7660,-1632,1268,15796,-280,-139,-14
7672,-1808,688,15796,-578,113,-148
7684,-1812,260,15668,-352,151,94
7696,-1992,212,15460,131,198,512
7708,-1664,880,15212,181,190,652
7721,-1756,748,15324,-185,-61,394
7733,-1992,408,15396,73,-390,388
7745,-1856,452,15776,207,-336,589
7757,-1828,724,15596,359,-358,617
7769,-1576,788,15360,189,-31,670
7781,-1692,1040,15476,101,137,676
7793,-1588,1208,15192,-141,108,570
7805,-1704,1120,15612,-374,285,518
7817,-1844,840,15624,-706,391,435
7829,-1792,592,15532,-401,697,555
7841,-1824,724,15112,-144,803,626
7853,-2172,760,15072,-242,450,410
7865,-2336,392,15012,-232,-242,240
7877,-1980,248,15260,-14,-260,556
7889,-2416,516,15540,246,-387,579
7901,-2172,704,15560,8,-360,478
7913,-2060,708,15544,-234,-49,446
7925,-1748,852,15560,-549,337,437
7937,-2152,732,15372,-1059,704,437
7949,-2436,412,15532,-1029,270,452
7961,-2260,176,15564,-759,311,659
7973,-2204,548,15756,-781,545,1006
7985,-1364,1084,15704,-1945,1222,1014
7997,-2728,344,15484,-1790,1126,676
8009,-2860,-304,15412,-589,39,709
8021,-2008,328,15748,372,-249,881
8033,-1944,672,15776,-111,159,892
8045,-2196,36,15552,-650,632,1242
8057,-2496,-40,15580,-6,308,1394
8069,-2056,712,15584,-142,221,1236
8081,-1836,656,15736,-1256,763,1026
8093,-2660,-200,15736,-1869,1019,1074
8105,-3004,-692,15624,-951,174,1099
8117,-2420,-368,15196,-354,-107,1253
8129,-2152,104,15136,-823,406,1321
8141,-2344,52,15276,-1960,780,1481
8153,-2880,-736,15196,-1581,482,1375
8165,-2500,-332,14980,-1009,134,1628
8177,-2100,184,15292,-915,332,1688
8189,-2052,556,15132,-1580,658,1862
8201,-2500,88,15268,-1525,446,1698
8213,-2040,144,15256,-1347,143,1635
8225,-1856,368,15428,-1776,525,1646
8237,-2312,-252,15428,-2076,724,1736
8249,-2652,-912,15020,-1190,220,1958
8261,-2332,-112,14592,85,-599,2076
8273,-1332,1304,14348,-83,-328,1794
8285,-1440,1720,14352,-1646,603,1493
8297,-2180,540,13688,-1920,414,1183
8309,-2232,580,13428,-994,-439,1103
8321,-1992,1100,13632,-601,-1062,1100
8333,-1976,1432,13680,-972,-1140,1179
8345,-2364,1108,14156,-217,-1889,976
8357,-2212,1708,14904,735,-3396,766
8369,-1636,2100,15976,1150,-3652,321
8381,-1232,2184,16252,854,-3221,-241
8393,-1008,1592,16348,422,-2628,-472
8405,-1156,1320,16272,182,-2305,-497
8417,-1016,1708,16304,-294,-1757,-440
