Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
10365,-13900,1188,6800,631,-330,577
10377,-14028,1200,6888,411,-381,589
10389,-13860,1148,6664,126,-59,626
10401,-14048,1252,6540,-117,254,610
10413,-13108,972,6368,-179,84,598
10425,-14976,1268,7752,-312,-250,546
10437,-14924,1120,7676,-425,-2727,512
10449,-14072,292,5504,-308,3119,449
10461,-12964,600,6016,-146,-855,438
10473,-14768,504,7896,-20,578,287
10485,-12928,620,5500,141,256,186
10497,-14760,824,6940,218,-392,139
10509,-13708,872,6420,175,159,98
10521,-14396,952,6868,17,177,109
10533,-12228,516,4880,-279,-176,131
10545,-15436,916,7208,-627,19,252
10557,-13140,1040,5384,-846,727,298
10569,-14828,920,6920,-877,-201,358
10581,-13936,856,6168,-787,874,387
10593,-14080,820,6244,-620,112,385
10605,-14292,920,6608,-420,383,409
10617,-12300,352,4920,-263,839,409
10629,-14904,976,7180,-154,-280,479
10641,-13504,1140,5920,-101,739,477
10653,-13372,1608,7004,-56,-301,516
10665,-15392,1328,7400,-151,-97,549
10677,-13204,1140,5672,-186,499,569
10689,-14612,1036,7040,-170,-377,595
10701,-13768,1076,6036,-169,544,661
10713,-14036,748,5548,-166,959,721
10725,-13696,572,5944,-178,-332,770
10737,-14412,776,6392,-251,284,838
10749,-13300,920,5628,-273,102,919
10761,-14424,1016,6348,-236,-206,968
10773,-13720,1048,6104,-229,237,1010
10785,-13856,1144,5888,-229,-161,1092
10797,-14040,1132,6076,-202,-57,1084
10809,-13872,1176,6124,-142,-244,1118
10821,-14364,1252,6412,-100,-384,1075
10833,-14008,1468,6232,-77,-362,1076
10845,-14128,1404,6172,-145,-635,1048
10857,-14000,1408,5956,-204,-683,1028
10869,-14104,1372,6012,-214,-754,973
10881,-13940,1292,6104,-124,-832,912
10893,-14000,1352,6156,-65,-867,851
10905,-14312,1848,6124,-82,-1215,727
10917,-13532,2140,5908,-348,-949,691
10929,-13316,2112,5448,-821,-1085,770
10941,-13812,1080,2996,-1012,-367,999
10953,-12096,56,4328,-909,-2447,326
10965,-13632,444,6232,-574,-772,99
10977,-14104,572,6152,-151,-2115,-68
10989,-13980,972,6560,66,-1611,-212
11001,-14556,1184,7292,132,-1967,-269
11013,-14356,1316,6896,-15,-1495,-250
11025,-14196,1396,6740,-255,-1575,-188
11037,-14332,1316,6700,-391,-1568,-105
11049,-14464,1060,7184,-571,-1486,-53
11061,-14260,1092,7080,-749,-1242,37
11073,-14144,1044,7144,-826,-1156,139
11085,-14284,744,7184,-784,-1086,196
11097,-14356,676,7468,-590,-971,238
11109,-14124,716,7240,-362,-764,267
11121,-14088,800,7464,-234,-647,329
11133,-13648,924,7380,-259,-507,433
11145,-13544,1168,7240,-353,-296,586
11157,-13380,1360,7156,-415,-47,766
11169,-13316,1488,6888,-403,127,911
11181,-13512,1412,6912,-287,256,1027
11193,-13504,1564,6828,-155,375,1107
11205,-13452,1592,6876,-86,458,1230
11217,-13428,1804,6840,43,542,1322
11229,-13524,1616,6740,268,555,1405
11241,-13636,1828,6724,566,480,1403
11253,-13720,1804,6768,892,393,1421
11265,-13864,1880,6640,1149,294,1398
11277,-13912,2364,6616,1193,157,1385
11289,-13688,2596,6936,967,34,1419
11301,-13736,2812,6804,676,-26,1479
11313,-13748,2800,6768,427,-113,1507
11325,-13540,2808,6700,223,-178,1552
11337,-13328,3048,6408,10,-236,1563
11349,-13300,3164,6608,-272,-194,1608
11361,-13032,3156,6604,-565,-194,1701
11373,-12732,3440,6352,-937,-99,1837
11385,-12428,3716,6508,-1521,50,2024
11397,-12580,3708,6620,-2068,107,2213
11409,-12424,2756,6884,-2527,252,2309
11421,-13432,4304,6064,-3099,225,2047
11433,-12628,3200,6996,-3473,410,2129
11445,-12196,3128,6228,-3745,585,2161
11457,-12884,2676,6956,-3725,339,2236
11469,-14596,2836,8356,-3410,-149,2211
11481,-13284,1712,7768,-2504,325,2125
11493,-13640,992,7272,-960,-384,1925
11505,-13528,20,8784,848,-841,1644
11517,-13944,1464,7784,3017,-257,1494
11529,-13688,636,7960,4816,-871,1443
11541,-16520,1100,8364,6592,-1179,1217
11553,-11720,1680,9252,7676,-1682,1299
11565,-17884,2280,8052,8146,-1083,1318
11577,-12456,3264,6656,7209,-1340,1451
11589,-16048,3684,7180,4909,-933,1758
11601,-14236,3496,5884,2077,-525,2000
11613,-15240,3432,6320,-732,-132,2097
11625,-14016,3020,5840,-2903,41,1920
11637,-14168,2800,6520,-4020,-109,1706
11649,-13884,2492,6832,-4084,-304,1446
11678,-13364,2064,7000,-1272,-965,518
11690,-12592,2632,6556,-169,-1099,329
11702,-12396,2680,6700,411,-1093,174
11714,-12196,2596,6240,417,-591,64
11726,-12128,2492,6484,-54,-1,16
11738,-12320,2728,6932,-843,825,105
11750,-12756,2656,7448,-1307,1222,191
11762,-12308,2612,6964,-1225,1423,204
11774,-12600,2908,6580,-1328,2099,219
11786,-12336,2940,7424,-1518,2548,311
11798,-13128,3000,7324,-1463,2457,328
11810,-13648,4560,7052,-1577,1983,381
11822,-13364,3356,8128,-1809,2338,489
11834,-14072,2736,7676,-1641,2576,416
11846,-13664,1868,7524,-1047,2552,284
11858,-13660,1584,6516,-192,2527,41
11870,-14644,1448,7532,557,2370,-297
11882,-13868,3056,6260,1498,2151,-570
11894,-14212,2492,6124,1883,1493,-768
11906,-13952,2888,5992,1658,1663,-817
11918,-13396,3140,5548,1008,1719,-667
11930,-13132,3164,4520,320,2225,-431
11942,-13928,2472,5068,-180,1175,-212
11954,-14496,2468,5544,-552,1174,12
11966,-14240,2120,5144,-857,1190,213
11978,-14272,1880,4924,-1156,938,341
11990,-14336,2280,5428,-1409,596,533
12002,-14008,2708,5500,-1520,498,738
12014,-13732,2476,5768,-1254,239,854
12026,-13456,2608,5932,-599,-172,1055
12038,-13524,2260,6108,291,-504,1154
12050,-13968,2036,6184,1246,-776,1136
12062,-13684,2128,5840,1951,-897,1027
12074,-13720,2588,5620,2168,-1003,892
12086,-13568,2888,5756,1792,-738,767
12098,-14492,3240,5956,1137,-623,588
12110,-14488,3344,6692,486,-516,374
12122,-14640,3452,6664,88,-489,125
12134,-13928,3476,6580,-10,-425,-101
12146,-13552,3448,6492,150,-274,-261
12158,-13660,3644,6520,285,40,-445
12170,-13464,3768,6800,346,210,-620
12182,-13240,3672,6512,423,358,-689
12194,-13420,3520,6444,354,679,-774
12206,-13540,3716,6596,119,890,-832
12218,-13944,3400,7100,-94,1142,-844
12230,-13980,3180,6764,-20,1244,-881
12242,-13924,2612,6904,585,1441,-820
12254,-13916,2172,6748,1532,1652,-818
12266,-14232,2140,6656,2362,1768,-784
12278,-14452,2040,6832,2790,1845,-719
12290,-14892,2308,6512,2714,1877,-596
12302,-14708,2960,6128,2318,1947,-306
12314,-15796,2836,6136,2002,2442,-27
12326,-13880,2164,5508,1802,2788,110
12338,-14516,2404,5964,1668,1612,266
12350,-13208,2592,5036,1567,2223,303
12362,-13712,3380,5192,1419,1634,350
12374,-13564,3656,4800,947,1852,429
12386,-14344,3404,4764,309,1434,570
12398,-14088,3076,4512,-317,1509,582
12410,-14408,2436,4580,-589,1286,543
12422,-14328,2436,4696,-491,1186,497
12434,-14476,2744,4860,-116,900,393
12446,-14432,2932,4988,345,626,300
12458,-14596,3556,5008,719,368,285
12470,-14616,4064,5144,819,156,336
12482,-14472,4388,5324,619,165,514
12494,-14268,5148,5200,22,187,750
12506,-14164,5332,4024,-980,508,1015
12518,-14308,6000,4100,-2128,838,1294
12530,-14552,5800,4984,-3006,841,1604
12542,-14572,6248,4576,-2949,813,1877
12554,-15500,6240,4600,-2084,1043,1993
12566,-14840,6844,2544,-243,1266,1863
12578,-15728,7752,4000,2188,1079,1675
12590,-15976,11324,2480,3068,2492,1530
12602,-18080,8768,6876,2942,-623,1290
12614,-15860,10296,4324,3657,2332,926
12626,-18472,7712,9664,6173,-1252,304
12638,-14512,8112,5596,7782,2909,-214
12650,-14400,7516,4612,7514,1849,-270
12662,-15872,10888,5456,8548,-2077,-574
12674,-19520,9012,10488,9491,-107,-649
12686,-15072,9676,3388,9632,2935,-739
12698,-16464,10576,4660,9695,1355,-763
12710,-16564,10608,7720,9699,862,-719
12722,-15684,10648,7152,10122,2031,-669
12734,-14856,9944,7360,11307,1887,-702
12746,-14948,9276,8660,13064,1995,-926
12758,-14056,9788,8608,14542,2618,-1175
12770,-13632,10316,8860,15384,2675,-1392
12782,-13376,10768,9196,15533,2958,-1503
12794,-13432,10804,9032,15381,3308,-1652
12806,-13628,10480,9328,15334,3320,-1803
12818,-13408,9960,9552,15664,3351,-2099
12830,-13116,9736,9240,16297,3443,-2454
12842,-13172,9524,9240,16933,3497,-2849
12854,-12764,9468,8764,17503,3575,-3204
