Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
8955,-10808,1296,11452,512,6,409
8967,-10632,1188,11636,176,-63,472
8979,-10696,1116,11808,-103,-127,584
9009,-10224,824,10736,-271,572,656
9021,-9512,764,10380,-124,501,662
9033,-10768,760,11000,45,542,611
9045,-10452,872,11220,188,721,568
9057,-10464,972,11288,179,671,540
9069,-10608,976,11272,175,386,466
9081,-10764,960,11460,226,401,427
9093,-10780,808,11316,268,371,382
9105,-10748,960,11088,228,183,300
9117,-10612,1256,11112,103,88,295
9129,-10556,1328,11076,-142,-5,297
9141,-10896,1276,11260,-292,-112,321
9153,-10728,1020,11048,-432,-210,300
9165,-10516,972,10900,-379,-216,325
9178,-10536,720,11024,-185,-125,301
9190,-10372,1004,11228,11,-246,288
9202,-10452,1076,11144,154,-502,285
9214,-10500,1124,11204,218,-532,287
9226,-10520,1244,11128,178,-602,314
9238,-10416,1212,11016,84,-588,360
9250,-10356,1316,11100,-96,-556,405
9262,-10548,1224,11060,-171,-522,456
9274,-10640,1064,11192,-222,-516,442
9286,-10508,1140,11244,-249,-553,428
9298,-10336,1060,11444,-277,-528,464
9310,-10256,1124,11148,-294,-433,463
9322,-10260,1128,11056,-291,-390,510
9334,-10196,1096,11304,-345,-308,562
9346,-10312,1188,11416,-473,-216,608
9358,-10328,1212,11440,-578,-216,666
9370,-10508,1116,11396,-636,-220,662
9382,-10280,1392,11152,-756,-327,644
9394,-11400,1256,10948,-1096,-1100,471
9406,-10752,1436,11444,-1422,-1248,669
9418,-12916,1484,11896,-1586,-860,508
9430,-9840,720,10448,-1472,-314,404
9442,-10440,416,10380,-1135,-440,333
9454,-10204,456,10452,-986,-553,252
9466,-10504,596,11040,-922,-772,254
9478,-10480,584,11140,-930,-845,298
9490,-10472,564,11240,-821,-1143,411
9502,-10308,480,11208,-528,-1357,567
9514,-10216,468,11296,-128,-1525,781
9526,-10192,644,11400,311,-1723,1037
9538,-9524,84,13436,733,-2167,1337
9550,-10428,460,9944,1761,-1907,1523
9562,-10456,-408,12496,2646,-2716,1646
9574,-11004,556,11920,3365,-2298,1866
9586,-9900,-164,11156,4077,-2306,2017
9598,-9828,816,11408,4402,-2292,2221
9610,-9496,1280,11804,4380,-2300,2496
9622,-9524,1632,11408,4118,-1972,2773
9634,-9356,1780,11204,3807,-1520,3010
9646,-9256,1972,11380,3502,-1262,3219
9658,-9376,2372,11504,3187,-1108,3424
9670,-9268,2708,11424,2901,-819,3611
9682,-9432,2720,11648,2766,-479,3681
9694,-9128,2008,12664,2495,-611,3720
9706,-10112,4212,11008,1846,-278,3746
9718,-9848,4008,11180,1281,-670,3638
9730,-9392,4404,11000,663,-565,3528
9742,-9128,4332,11192,94,34,3320
9754,-9252,4960,11000,-278,-15,3122
9766,-8528,5048,11452,-247,-245,2899
9778,-8372,4660,11892,162,-326,2667
9790,-10560,4960,13040,850,-85,2404
9802,-10380,5068,13176,1419,-488,2183
9814,-8796,5372,12372,1925,-676,1992
9826,-9084,5180,12196,2218,-722,1874
9838,-9420,5696,12296,2090,-658,1786
9850,-8928,6008,11968,1840,-625,1755
9862,-8232,5016,11624,1868,-713,1734
9874,-8964,4904,12236,2080,-976,1657
9886,-8940,4716,12544,2501,-1032,1534
9898,-8588,3900,13816,3147,-1083,1378
9910,-8932,4168,12560,3884,-1511,1109
9922,-8968,4480,12128,4655,-2128,847
9934,-8728,4280,11648,5222,-1793,642
9946,-7808,4872,11480,5358,-1405,543
9958,-8408,4312,12552,4947,-1144,473
9970,-12472,4004,12388,3551,-1652,-271
9982,-10256,3704,11044,1818,-1088,-1041
9994,-7852,3328,10312,846,-651,-1497
10006,-9424,3240,11336,346,-908,-1857
10018,-9040,3484,11664,-67,-952,-2124
10030,-8968,4596,12500,-331,-854,-2093
10042,-8056,8024,16240,-404,-1612,-1543
10054,-8828,4676,10332,106,-1781,-547
10066,-7432,2700,10328,1253,-1085,-181
10078,-10660,2368,10972,1920,-2144,-431
10090,-11816,3880,12168,1867,-2509,-1006
10102,-9620,4900,10976,1328,-2168,-1167
10114,-9908,5632,11940,1780,-3109,-1027
10126,-11176,4444,11668,2639,-2545,-1000
10138,-9944,4192,10028,3173,-2149,-1081
10150,-8012,4668,10232,3359,-1956,-871
10162,-7924,3712,11972,3519,-1885,-614
10174,-9124,3876,10616,3512,-1549,-548
10186,-7448,5552,11484,3468,-299,-554
10198,-6952,5236,11700,3532,-98,-538
10210,-8048,4672,11952,3915,563,-692
10222,-7416,4324,12056,5006,1419,-830
10234,-7152,3436,11784,6870,2479,-1184
10246,-6380,4148,12336,9048,2933,-1666
10258,-6980,5092,11832,10825,3441,-2142
10270,-7344,5172,11656,12347,4076,-2510
10282,-7572,5156,12148,13880,4695,-2746
10294,-7932,4612,12044,16023,5319,-2974
10306,-7940,4072,12388,18463,5847,-3311
10318,-8764,5148,11776,19966,5802,-3566
10330,-10120,5636,8792,20915,5643,-3724
10342,-10316,5960,8056,23573,5540,-3771
10354,-9960,5484,3804,26489,6871,-3978
10366,-10760,6120,5320,28622,4818,-4194
10378,-11704,7292,5408,29538,4533,-4164
10390,-11388,7248,4500,29473,4332,-4035
10402,-11852,6368,4276,28547,3490,-3822
10414,-12036,5576,5828,27134,2666,-3430
10426,-10796,7212,7532,25859,1573,-2748
10438,-11812,10124,6284,24903,1972,-1658
10450,-12748,12076,5532,22524,1457,-1116
10462,-10160,11460,5696,20034,516,-781
10474,-8584,11448,2180,18335,1345,-82
