Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
6345,-2612,2720,15412,-279,-340,136
6357,-2764,2600,15172,-260,205,169
6369,-2880,2708,15092,-518,277,334
6403,-3268,3024,15576,755,2563,812
6415,-3384,2832,15016,824,1517,617
6427,-2716,2800,15048,1293,1139,525
6439,-2856,2964,15080,1044,1047,625
6451,-3004,2832,14896,942,918,649
6463,-3032,3296,15028,805,1111,671
6475,-2952,3276,15188,239,1030,452
6487,-3216,3296,15008,-301,901,369
6499,-3216,2704,14896,-235,213,270
6511,-3080,2664,14732,190,-275,221
6523,-2756,2788,14816,409,8,242
6535,-2840,2712,14696,245,446,186
6547,-2976,2740,14800,89,977,129
6559,-3396,2892,15020,-176,967,182
6572,-3548,2936,14960,-426,316,80
6584,-3272,3032,14864,-631,-418,-73
6596,-3216,3072,15104,-1146,-945,15
6608,-3228,3008,15016,-1457,-1703,300
6620,-3760,3104,14844,-2309,-2886,750
6632,-3712,2720,15244,-3006,-4109,1058
6644,-1684,3060,16628,655,-1723,-1857
6656,-1680,2652,16136,-1191,427,449
6668,-2776,2676,15216,-41,1317,134
6680,-3696,2588,14944,66,173,-73
6692,-3224,2460,14932,-276,-416,-60
6704,-2868,2128,14736,-264,470,39
6716,-3116,2048,14656,-464,1278,437
6728,-3536,1888,14484,-326,1064,552
6740,-3640,1856,14536,-231,439,598
6752,-3496,1780,14628,-255,63,810
6764,-3460,1492,14748,-105,171,1136
6776,-3420,1812,14540,-6,50,1141
6788,-3124,1804,14716,-407,97,1141
6800,-3336,1552,14912,-448,309,1018
6812,-3728,1340,14728,-574,278,958
6824,-4040,872,15288,-581,-94,1325
6836,-3812,892,15572,-203,-96,1597
6848,-3572,1072,15340,-371,450,1685
6860,-4304,816,15280,-752,672,1965
6872,-4272,636,15072,-834,508,2169
6884,-3996,520,14816,-708,501,2645
6896,-4080,852,14580,-587,382,3003
6908,-3720,1180,14788,-702,149,3200
6920,-3472,1388,14732,-1043,137,3198
6932,-3304,1408,14456,-1340,570,3107
6944,-3428,1504,14404,-1745,858,3241
6956,-3104,1556,14388,-2296,1072,3163
6968,-3052,1376,14376,-2699,1355,3006
6980,-3492,1136,14352,-2779,1245,3290
6992,-3420,1328,14596,-2494,898,3511
7004,-3120,1564,14816,-2166,602,3621
7016,-3008,1760,14856,-1771,533,3696
7028,-3064,1900,14524,-1392,320,3748
7040,-3124,1832,14548,-930,-99,3868
7052,-3064,2072,14516,-682,-631,3896
7064,-2724,2228,14580,-784,-418,3897
7076,-2952,2332,14440,-930,-179,4128
7088,-2948,2520,14376,-1058,-506,4082
7100,-2340,2996,14508,-1349,-549,3839
7112,-2064,3228,14952,-1839,98,3398
7124,-2356,2952,14972,-1984,438,3261
7136,-2964,2812,14988,-1236,-407,3139
7148,-2376,3116,15124,-611,-1282,2836
7160,-1876,3232,15260,-338,-986,2559
7172,-2084,3292,15112,-57,-267,2323
7184,-2660,3024,14588,647,-533,2261
7196,-2716,3408,14488,1313,-1757,1873
7208,-2172,3724,14588,1181,-2113,1392
7220,-1908,3644,14784,855,-1393,760
7232,-2100,3432,14416,390,-584,202
7244,-2468,3168,14316,309,-480,-135
7256,-2296,3216,14048,240,-533,-389
7268,-1992,3400,13868,-212,-48,-708
7280,-2180,3020,13408,-144,392,-884
7292,-2532,3468,13180,-303,110,-1041
7304,-2848,3380,12904,5,-651,-1323
7316,-2656,3796,12788,218,-1238,-1642
7328,-2668,4296,12548,-133,-1246,-1999
7340,-3168,4472,12624,-752,-1593,-2301
7352,-3804,4568,13188,-895,-2604,-2347
7364,-3608,5080,14216,-1737,-3068,-2463
7376,-3896,5008,15360,-2588,-2613,-2503
7388,-3876,4892,16080,-3214,-1555,-2327
7400,-4176,4900,16968,-3776,-938,-1795
7412,-4252,4616,17984,-3454,-1420,-1319
7424,-3956,4936,19016,-2602,-2816,-829
7436,-3604,5168,20056,-1400,-3222,-559
7448,-3144,5488,20376,-457,-2602,-407
7460,-2760,5376,19664,449,-1203,-311
7472,-2672,5548,18040,1266,-335,-375
7484,-2868,5460,16540,1356,-518,-866
7496,-3248,4892,15628,1094,-1045,-1248
7508,-3040,4476,15324,741,-862,-1028
7520,-3272,4332,15124,452,-96,-668
7532,-3444,4140,14544,273,394,-306
7544,-3108,4376,13904,252,562,-115
7556,-3160,4520,13320,400,302,-187
7568,-3020,4976,12860,382,-39,-629
7580,-3132,4712,12604,335,-530,-952
7592,-3088,4568,12140,626,-880,-1231
7604,-2820,4592,12008,730,-1386,-1535
7616,-2824,4580,12368,275,-1909,-1807
