Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
7235,2624,-12320,-11804,-295,-176,341
7247,2680,-12716,-11976,-465,-118,157
7259,2652,-12460,-11724,-292,-352,465
7271,2692,-12528,-11788,-677,-64,14
7283,2932,-12520,-11812,-775,-5,34
7295,3016,-12616,-11972,-560,-159,312
7307,2788,-12616,-11740,-589,-91,284
7319,3008,-12644,-11856,-808,172,29
7331,2732,-12832,-12248,-639,40,314
7343,2696,-12708,-12000,-402,-102,513
7355,2396,-12784,-12032,-555,61,199
7367,2444,-12460,-12120,-503,8,166
7379,2604,-12740,-12264,-272,-169,379
7391,2632,-12704,-12060,-223,-106,285
7403,2728,-12644,-11928,-303,13,68
7415,2900,-12604,-11904,-250,0,41
7427,2664,-12500,-11812,-130,-82,128
7439,2732,-12560,-11712,-338,70,-119
7451,2788,-12536,-11704,-392,111,-188
7463,2956,-12688,-11660,-162,15,46
7475,2908,-12712,-11660,-259,159,-86
7487,2748,-12800,-11872,-237,120,-99
7499,2560,-12704,-11940,-180,15,70
7511,2616,-12696,-12044,-280,36,15
7523,2796,-12644,-12144,-252,76,125
7535,2748,-12820,-12024,-224,14,219
7547,2540,-12756,-12048,-263,-100,328
7559,2352,-12828,-12044,-245,-224,423
7571,2412,-12784,-12160,-190,-336,532
7583,2732,-12748,-11916,-185,-328,486
7595,3012,-12964,-11944,20,-364,579
7607,3092,-12996,-12044,147,-219,479
7619,3120,-13140,-12284,289,46,279
7631,3312,-13376,-12064,633,187,245
7643,3288,-13872,-12164,1103,289,431
7655,3652,-14048,-12060,1015,871,-109
7667,3320,-13184,-11780,1208,991,115
7679,2452,-12356,-11676,1844,415,854
7691,1772,-11756,-11572,1620,403,564
7703,1332,-11460,-11300,1427,266,133
7715,892,-11056,-11268,1339,-209,155
7727,588,-10844,-10996,378,430,-1271
7739,1364,-11132,-11252,-92,-279,-1427
7751,1816,-11540,-11004,-678,-262,-1799
7763,2312,-11840,-11424,-1419,228,-2674
7775,2724,-12148,-11428,-1711,228,-2299
7787,2948,-12704,-12088,-741,-647,-1012
7799,2852,-13376,-12092,-96,-1177,-337
7811,2496,-13680,-11996,-691,-217,-1501
7823,2912,-13936,-12384,-932,462,-2363
7835,3428,-14032,-12604,183,-269,-1334
7847,3496,-13744,-12476,1146,-605,-657
7859,3284,-13780,-12252,1056,59,-1442
7871,3148,-13764,-12336,1255,519,-1921
7883,2824,-13500,-11996,1894,181,-1575
7895,2756,-12944,-11784,1662,457,-1957
7907,2988,-12528,-12108,1410,460,-2060
7919,3116,-12732,-12088,1842,0,-1499
7931,2748,-12876,-11888,1923,-103,-1413
7943,2432,-12880,-11504,1382,155,-1880
7955,2712,-12932,-11820,1193,-142,-1557
7967,2792,-13016,-11804,1424,-661,-895
7979,2828,-12808,-11724,1213,-695,-1032
7991,3024,-12984,-12044,1289,-811,-1160
8003,3152,-13308,-11816,1588,-1054,-1130
8015,2960,-13448,-11436,1445,-813,-1710
8027,3328,-13284,-11432,1160,-628,-2191
8039,3968,-13308,-11604,1248,-756,-1969
8051,4076,-13764,-11528,1519,-950,-1594
8063,4184,-13840,-11348,1557,-866,-1472
8075,4392,-13624,-11468,1179,-463,-1672
8087,4500,-13512,-11440,1184,-443,-1620
8099,4488,-13440,-11412,1312,-328,-1572
8111,4120,-13264,-11140,1740,-539,-1181
8123,3820,-13284,-10856,2453,-1296,-136
8135,3732,-13408,-10564,3273,-2408,1517
8147,3392,-13380,-10028,1921,-1729,1071
8159,3812,-13492,-9844,248,-678,-927
8171,4632,-13368,-10284,-578,-431,-1319
8183,4864,-13576,-10608,129,-710,-673
8195,4760,-13516,-10244,1015,-1058,51
8207,4564,-13752,-10220,2064,-1573,1115
8219,4644,-13904,-10072,3263,-2184,2358
8231,4072,-13832,-9496,1918,-884,1378
8243,4004,-13680,-9360,266,558,-1008
8255,4608,-14112,-9828,-687,1735,-1750
8267,4704,-13888,-9980,455,956,-665
8279,4540,-13368,-10028,1581,202,589
8291,4500,-13304,-10164,2377,-346,1646
8303,4484,-13732,-10200,3051,-742,2407
8315,4332,-14184,-9616,1929,553,848
8327,4468,-14384,-9500,746,2043,-1624
8339,5152,-14692,-10208,1211,1889,-1220
8351,5172,-14364,-10048,2247,1500,-157
8363,4728,-14036,-9676,2683,1154,653
8375,4204,-13848,-9120,1479,1999,-325
8387,4320,-13768,-9580,1002,2006,-199
8399,4456,-13420,-9372,1399,1305,978
8411,4700,-12916,-9248,758,1406,1099
8423,4752,-12644,-9512,53,1607,1083
8435,4384,-12276,-9464,-177,1503,1479
8447,3984,-12164,-9228,-83,889,2366
8459,3676,-12120,-8684,191,-67,3539
8471,3140,-11688,-8168,-1454,365,2256
8502,3636,-11964,-9428,-2768,-208,3147
8514,3296,-11880,-9428,-3514,-130,2941
8526,3296,-11512,-9856,-4391,72,2623
8538,3032,-12036,-10236,-4078,-731,3376
8550,2608,-12204,-9704,-3980,-1279,3678
8562,2552,-12220,-9800,-4606,-867,2768
8574,2592,-12168,-9892,-5219,-239,1768
8586,5596,-26204,-16224,-5246,3467,-473
8598,4032,-17264,-11456,-656,5182,647
8610,-452,-15348,-12300,1236,-816,3606
8622,1412,-13840,-11652,-977,-825,538
8634,4452,-14132,-11440,-806,1000,-298
8646,4052,-11912,-9920,-323,455,-19
8658,3220,-11796,-9672,-172,-255,1092
8670,2828,-13688,-9920,1209,-2015,3418
8682,992,-14460,-10380,-779,1013,-763
8694,2548,-14836,-11284,-912,-158,-886
8706,2712,-14460,-11652,-927,548,-959
8718,2832,-13996,-11228,-880,656,-1143
8730,3492,-14104,-11508,-771,904,-1320
8742,2516,-13820,-10636,466,-414,-134
8754,2068,-13392,-10520,1369,-755,605
8766,2516,-13336,-10128,1209,-446,196
8778,2644,-13292,-10756,1168,-321,-1057
8790,2924,-13568,-10916,134,606,-3053
8802,3764,-13896,-11524,935,-821,-1397
8814,3876,-14024,-10924,3138,-1049,2040
8826,3588,-14172,-10604,4482,-2012,5020
8838,2028,-14120,-9744,2407,-1598,3048
8850,2192,-14124,-10444,2139,570,2479
8862,3072,-13712,-10232,1740,358,3092
8874,3040,-13844,-10384,974,691,2996
8886,2732,-14044,-10608,548,738,2960
8898,2864,-14320,-10432,229,271,2919
8910,3192,-13916,-10296,-348,74,2513
8922,3644,-13412,-10232,-952,68,1974
8934,3652,-13404,-10320,-1878,422,1150
8946,2916,-13532,-10512,-2512,625,624
8958,2464,-13948,-10612,-3111,513,24
8970,2640,-13716,-10512,-3560,363,-366
8982,2784,-13624,-10520,-3922,522,-897
8994,2936,-13944,-10952,-4108,723,-1347
9006,3004,-13868,-11056,-3809,624,-1068
9018,2832,-13632,-10768,-3520,568,-825
9030,2700,-13300,-10744,-3436,736,-686
9042,2748,-13396,-10880,-2874,411,96
9054,2732,-13300,-10584,-2473,254,484
9066,2908,-13408,-10732,-2298,452,263
9078,3004,-13600,-10976,-1766,318,457
9090,2924,-13336,-11016,-1305,240,656
9102,2812,-13436,-11064,-831,72,1043
9114,2896,-13240,-10960,-408,-288,1590
9126,3160,-12892,-10648,-389,-288,1636
9138,3300,-13124,-10776,-21,-443,2005
9150,2764,-13516,-10980,392,-663,2141
9162,2720,-13908,-11052,382,-445,1727
9174,2776,-13756,-11060,189,35,1124
9186,2968,-13572,-11216,21,286,934
9198,3104,-13216,-11040,689,-543,2014
9210,2892,-13520,-10648,602,-622,1767
9222,2532,-13720,-10620,380,-649,1291
9234,2496,-13356,-10592,221,-642,959
9246,2740,-13144,-10392,-284,-238,527
9258,2660,-12856,-10460,-955,369,-139
9270,2304,-13224,-10852,-1257,542,-352
9282,2508,-13432,-11028,-979,434,61
9294,2336,-13520,-11312,-534,108,455
9306,2056,-13436,-11412,-241,-48,856
9318,2012,-13376,-11284,83,-303,1351
9330,1596,-13452,-11216,-269,443,444
9342,1760,-13376,-11192,-154,-319,910
9354,1740,-13048,-10812,-180,-265,1002
9366,1724,-13260,-11108,-98,-392,1206
9378,1848,-13420,-11148,-113,-253,1187
9390,2080,-13212,-11340,-157,-140,1322
9402,2080,-13224,-11232,-87,-55,1614
9414,1992,-13376,-11472,-266,327,1550
9426,1984,-13372,-11520,-387,541,1557
9438,2124,-13272,-11488,-541,790,1550
9450,2192,-13276,-11372,-707,942,1490
9462,2248,-13356,-11424,-815,1049,1452
9474,2360,-13344,-11264,-1100,1362,1106
9486,2060,-13260,-11240,-1154,1274,1069
9498,2132,-13148,-11056,-1180,1175,945
9510,2068,-13080,-11076,-1224,1148,720
9522,2136,-13300,-11192,-1262,1173,475
9534,2268,-13556,-11096,-1107,1088,419
9546,2224,-13472,-10908,-853,990,489
9558,2260,-13504,-10824,-404,852,819
9570,2312,-13492,-10652,19,788,1171
9582,2324,-13740,-10876,494,726,1488
9594,2020,-13908,-10840,681,1090,1210
9606,2152,-13852,-10704,1070,644,1702
9618,1996,-13712,-10236,1225,776,1853
9630,2112,-13508,-10324,1389,516,2166
9642,2196,-13104,-10040,1311,606,2207
9654,2220,-12944,-9788,1092,790,2078
9666,1884,-12856,-9932,862,937,1861
9678,1808,-13192,-9856,680,1281,1347
9690,1636,-13500,-10248,611,1613,774
9702,1572,-13404,-10072,529,1913,319
9714,1548,-13224,-9852,548,2021,169
9726,1420,-13352,-9592,553,2001,38
9738,1312,-13556,-9364,468,2092,-222
9750,1484,-13680,-9496,402,2109,-332
9764,1432,-13944,-9468,347,2221,-445
9776,1420,-14108,-9320,290,2229,-389
9788,1564,-14020,-9176,203,2189,-343
9800,2020,-13412,-8968,-20,2226,-334
9812,2400,-13148,-9112,-257,2474,-371
9824,2272,-13772,-9588,-431,2757,-806
9836,2020,-14316,-9832,-549,3062,-1637
9848,2088,-14168,-9904,-468,3056,-2142
9860,2120,-14032,-9668,-367,2808,-2127
9872,1936,-13920,-9736,-342,2508,-2075
9884,1828,-14292,-9808,-443,2291,-2213
9896,1660,-14624,-10124,-552,1980,-2225
9908,1464,-14248,-10044,-593,1534,-1978
9920,1324,-14336,-9972,-670,1034,-1620
9932,1220,-14104,-10092,-860,463,-1333
9944,1392,-14032,-10096,-1098,120,-1174
9956,1272,-14120,-10196,-1249,-159,-1061
9968,904,-14396,-10132,-1320,-548,-1007
9980,832,-14672,-10172,-1220,-954,-936
9992,936,-14520,-9936,-1080,-1273,-773
10004,852,-14400,-9800,-1016,-1410,-680
10016,996,-14456,-9792,-1053,-1341,-564
10028,884,-14616,-9788,-1006,-1225,-360
10040,740,-14952,-9768,-926,-1106,-29
10052,700,-15076,-9688,-862,-990,429
10064,896,-14892,-9656,-816,-826,876
10076,1016,-14568,-9648,-905,-546,1198
10088,1272,-14456,-9580,-1100,-201,1370
10100,1240,-14364,-9564,-1266,33,1429
10112,1236,-14488,-9580,-1383,164,1384
10124,1376,-14100,-9956,-1488,176,1313
10136,1304,-14424,-9996,-1663,204,1103
10148,1308,-14292,-9564,-1822,33,861
10160,1584,-14144,-9704,-1947,-136,684
10172,2028,-14544,-10044,-1937,-206,578
10184,2256,-15000,-10552,-1772,-148,342
10196,2544,-15228,-11092,-1427,-98,205
10208,2160,-15612,-11480,-809,-394,359
10220,1920,-15484,-11568,-139,-950,706
10232,1816,-15072,-11572,378,-1711,1280
10244,1848,-14884,-11296,742,-2507,1669
10256,1948,-14472,-11252,839,-3129,1668
10268,2088,-14348,-11116,795,-3681,1540
10280,2152,-14492,-11224,849,-4011,1394
10292,1820,-14736,-11216,1123,-4374,1436
10304,1768,-14816,-11476,1617,-4662,1782
10316,2056,-14724,-11692,2288,-4820,2317
10328,1780,-14644,-11756,3166,-4969,3079
10340,1908,-14604,-11624,3991,-4843,3593
10352,2212,-14004,-11480,4573,-4495,3734
10364,2060,-13544,-10772,4777,-4088,3576
10376,2436,-13164,-10668,4697,-3574,3239
10388,2740,-13172,-10572,4506,-2968,2711
10400,3248,-13504,-10484,4148,-2131,1803
10412,3536,-14068,-10724,3794,-1148,506
10424,3316,-14204,-11004,3259,-123,-812
10436,3148,-14348,-11500,2724,697,-1906
10448,3292,-13784,-10988,2296,1011,-1801
10460,2952,-13716,-10800,3629,-1268,369
10472,2196,-13188,-9784,2920,-2080,653
10484,2100,-13208,-9448,2220,-3109,604
10496,1688,-12728,-9236,629,-2482,-1281
10508,2444,-12492,-9668,-133,-2925,-1668
10520,2492,-12608,-9968,-952,-2735,-2206
10532,2184,-13316,-10496,-1087,-2624,-1998
10544,2132,-13892,-10440,-1641,-1560,-2771
10556,2176,-14012,-10452,-1431,-1289,-2194
10568,2436,-13920,-10356,-1254,-722,-1696
10580,2424,-14200,-10596,-1069,-103,-1185
10592,2360,-13856,-10536,-1013,324,-677
10604,2436,-13748,-10536,-998,654,-239
10616,2200,-13504,-10368,-1215,815,-21
10628,2028,-13404,-10044,-1508,848,-96
10640,2056,-12920,-10064,-1871,624,-233
10652,1872,-12792,-10132,-2281,309,-455
10664,1864,-12456,-10100,-2636,46,-640
10676,1708,-12448,-10288,-2952,-159,-917
10688,1720,-12332,-10484,-3123,-329,-1052
10700,1700,-12080,-10660,-3214,-356,-1185
10712,1876,-12384,-10648,-3149,-211,-1307
10724,1544,-12756,-10848,-2981,-89,-1549
10736,1416,-13032,-10800,-2730,34,-1700
10748,1384,-13040,-10752,-2386,41,-1540
10760,1272,-13056,-10596,-2148,38,-1220
10772,1200,-13156,-10464,-2003,9,-791
10784,1160,-13076,-10400,-1904,12,-366
10796,1228,-13032,-10336,-1882,23,-160
10808,1244,-13276,-10320,-1752,106,31
10820,1144,-13492,-10600,-1521,68,365
10832,1068,-13740,-10564,-1264,80,702
10844,1220,-13676,-10660,-1120,140,908
10856,904,-13064,-10324,-1082,139,1140
10868,900,-12956,-10316,-1189,87,1265
10880,892,-13256,-10432,-1316,110,1269
10892,800,-13024,-10600,-1493,13,1296
10904,932,-13040,-10584,-1574,-54,1477
10916,1120,-13164,-10832,-1728,38,1416
10928,1012,-13480,-11256,-1854,225,1111
10940,1316,-13444,-11636,-2017,521,676
10952,1788,-13596,-11728,-2097,832,361
10964,1988,-13944,-11856,-2131,1056,15
10979,2104,-14332,-12088,-2090,1506,-530
10991,2420,-14384,-12376,-2078,1702,-586
11003,2240,-14348,-12420,-1972,1718,-552
11015,1976,-14268,-12520,-1902,1434,-258
11027,2104,-13844,-11936,-1826,956,-43
11039,2272,-13620,-11604,-2120,753,-245
11051,2332,-13600,-11704,-1475,-251,667
11063,1896,-13576,-11488,-1576,-652,758
11075,2060,-14056,-11784,-1613,-947,782
11087,1656,-14548,-11712,-1566,-1564,921
11099,1824,-15244,-12580,-1673,-800,438
11111,1788,-14772,-12280,-1477,-815,887
11123,2112,-14320,-12068,-1473,-310,1258
11135,2420,-14008,-11948,-1712,734,1340
11147,2876,-14152,-12264,-2239,2310,1215
11159,3076,-14672,-12852,-2541,3901,1237
11171,2848,-15300,-13156,-2537,4966,1436
11183,2296,-15128,-12380,-2260,5391,1569
11195,2340,-14700,-11708,-1972,4952,1889
11207,2336,-14060,-10568,-1845,4308,1846
11219,2376,-13612,-9944,-1955,3442,1328
11231,2700,-12940,-9656,-2320,3312,650
11243,3308,-12520,-9692,-1453,1901,1533
11255,2536,-12712,-9848,-1284,1071,1654
11267,2624,-12724,-9632,-1709,1535,568
11279,2628,-13100,-9968,-1815,1870,-10
